Etc/UTC,Open,High,Low,Close,Volume
2026-05-21T14:29:00+00:00,1.15885,1.15888,1.15878,1.15887,132030000
2026-05-21T14:30:00+00:00,1.15887,1.15922,1.15886,1.15915,180900000
2026-05-21T14:31:00+00:00,1.15913,1.15938,1.15913,1.15924,203940000
2026-05-21T14:32:00+00:00,1.15924,1.15946,1.15924,1.15943,129060000
2026-05-21T14:33:00+00:00,1.15944,1.15945,1.15914,1.15914,116440000
2026-05-21T14:34:00+00:00,1.15912,1.15914,1.15893,1.15893,124540000
2026-05-21T14:35:00+00:00,1.15892,1.15904,1.15891,1.15901,154240000
2026-05-21T14:36:00+00:00,1.15899,1.15913,1.15883,1.15886,157870000
2026-05-21T14:37:00+00:00,1.15886,1.15904,1.15882,1.159,165710000
2026-05-21T14:38:00+00:00,1.159,1.15922,1.15893,1.15917,167010000
2026-05-21T14:39:00+00:00,1.15919,1.1592,1.15909,1.15909,95890000
2026-05-21T14:40:00+00:00,1.15911,1.15913,1.15863,1.15873,203610000
2026-05-21T14:41:00+00:00,1.1587,1.15879,1.15858,1.15879,181800000
2026-05-21T14:42:00+00:00,1.15877,1.15894,1.15873,1.15894,80550000
2026-05-21T14:43:00+00:00,1.15894,1.15904,1.15883,1.15888,131520000
2026-05-21T14:44:00+00:00,1.15887,1.15904,1.1588,1.15902,105980000
2026-05-21T14:45:00+00:00,1.15902,1.15918,1.15897,1.15914,150870000
2026-05-21T14:46:00+00:00,1.15916,1.15925,1.15911,1.15918,97540000
2026-05-21T14:47:00+00:00,1.1592,1.15939,1.15899,1.15907,147720000
2026-05-21T14:48:00+00:00,1.15907,1.15929,1.15902,1.15905,145170000
2026-05-21T14:49:00+00:00,1.15904,1.15923,1.15904,1.15918,110490000
2026-05-21T14:50:00+00:00,1.1592,1.15922,1.15899,1.15918,124220000
2026-05-21T14:51:00+00:00,1.15917,1.15954,1.15914,1.15948,123190000
2026-05-21T14:52:00+00:00,1.15949,1.15953,1.15935,1.1595,189570000
2026-05-21T14:53:00+00:00,1.15949,1.15954,1.15937,1.15942,210500000
2026-05-21T14:54:00+00:00,1.15944,1.15964,1.15942,1.15948,188460000
2026-05-21T14:55:00+00:00,1.15949,1.15961,1.15925,1.15934,203380000
2026-05-21T14:56:00+00:00,1.15935,1.15955,1.15935,1.15949,125730000
2026-05-21T14:57:00+00:00,1.15946,1.15959,1.15937,1.15945,185500000
2026-05-21T14:58:00+00:00,1.15944,1.15953,1.15937,1.15949,113240000
2026-05-21T14:59:00+00:00,1.15949,1.15949,1.15924,1.15927,119200000
2026-05-21T15:00:00+00:00,1.15928,1.15938,1.15918,1.15926,134360000
2026-05-21T15:01:00+00:00,1.15926,1.15936,1.15922,1.15933,135450000
2026-05-21T15:02:00+00:00,1.15933,1.15936,1.15911,1.15914,145150000
2026-05-21T15:03:00+00:00,1.1591,1.15912,1.15897,1.15906,125720000
2026-05-21T15:04:00+00:00,1.15907,1.15926,1.15901,1.15926,140980000
2026-05-21T15:05:00+00:00,1.15927,1.1593,1.15909,1.15914,168630000
2026-05-21T15:06:00+00:00,1.15912,1.15922,1.1585,1.15868,267050000
2026-05-21T15:07:00+00:00,1.15866,1.15867,1.15822,1.15833,286600000
2026-05-21T15:08:00+00:00,1.15833,1.15847,1.1582,1.15824,273190000
2026-05-21T15:09:00+00:00,1.15823,1.15852,1.15821,1.15839,274540000
2026-05-21T15:10:00+00:00,1.15838,1.15859,1.15827,1.15856,268320000
2026-05-21T15:11:00+00:00,1.15857,1.15857,1.15834,1.15842,276660000
2026-05-21T15:12:00+00:00,1.15842,1.15856,1.15835,1.15853,203990000
2026-05-21T15:13:00+00:00,1.15853,1.15905,1.1585,1.15903,378670000
2026-05-21T15:14:00+00:00,1.159,1.15907,1.15869,1.15877,329270000
2026-05-21T15:15:00+00:00,1.15877,1.15887,1.15854,1.15872,255900000
2026-05-21T15:16:00+00:00,1.15871,1.15875,1.1586,1.15866,213190000
2026-05-21T15:17:00+00:00,1.15868,1.15876,1.15865,1.15873,134900000
2026-05-21T15:18:00+00:00,1.15872,1.15878,1.15863,1.1587,117900000
2026-05-21T15:19:00+00:00,1.15871,1.15884,1.15868,1.15882,160200000
2026-05-21T15:20:00+00:00,1.15882,1.15889,1.15877,1.15888,96750000
2026-05-21T15:21:00+00:00,1.15887,1.15893,1.15872,1.15878,172270000
2026-05-21T15:22:00+00:00,1.1588,1.15886,1.15876,1.15877,95270000
2026-05-21T15:23:00+00:00,1.15879,1.15881,1.15853,1.15857,133550000
2026-05-21T15:24:00+00:00,1.15858,1.15861,1.15851,1.15856,133880000
2026-05-21T15:25:00+00:00,1.15856,1.15876,1.15853,1.15862,124350000
2026-05-21T15:26:00+00:00,1.15862,1.15872,1.15861,1.15867,74140000
2026-05-21T15:27:00+00:00,1.15871,1.15874,1.15852,1.15852,137160000
2026-05-21T15:28:00+00:00,1.15851,1.15862,1.1585,1.15862,64020000
2026-05-21T15:29:00+00:00,1.15863,1.15867,1.1585,1.15855,121280000
